EUR/USD,20180903 04:45:36.807,1.16026,1.1603
EUR/USD,20180903 04:50:39.002,1.16028,1.16034
EUR/USD,20180903 04:55:51.308,1.1603700000000001,1.16042
EUR/USD,20180903 05:00:52.132,1.16056,1.1606
EUR/USD,20180903 05:06:00.545,1.1607,1.1607399999999999
EUR/USD,20180903 05:11:00.546,1.16093,1.16099
EUR/USD,20180903 05:16:01.005,1.16088,1.1609200000000002
EUR/USD,20180903 05:21:02.349,1.1607399999999999,1.16078
EUR/USD,20180903 05:26:04.674,1.1608100000000001,1.16085
EUR/USD,20180903 05:31:09.160,1.16107,1.16109
EUR/USD,20180903 05:36:15.969,1.16107,1.16111
EUR/USD,20180903 05:41:20.223,1.1611799999999999,1.1612
EUR/USD,20180903 05:46:23.021,1.16106,1.1611200000000002
EUR/USD,20180903 05:51:24.561,1.1611799999999999,1.1612
EUR/USD,20180903 05:56:26.566,1.16124,1.16129
EUR/USD,20180903 06:01:26.990,1.16137,1.1614
EUR/USD,20180903 06:06:29.144,1.16133,1.16136
EUR/USD,20180903 06:11:30.491,1.16126,1.1613200000000001
EUR/USD,20180903 06:16:31.065,1.16104,1.16107
EUR/USD,20180903 06:21:31.489,1.16079,1.16083
EUR/USD,20180903 06:26:33.356,1.16085,1.16087
EUR/USD,20180903 06:31:33.722,1.16048,1.16052
EUR/USD,20180903 06:36:37.471,1.1607,1.1607299999999998
EUR/USD,20180903 06:41:37.943,1.16077,1.16082
EUR/USD,20180903 06:46:44.061,1.1609200000000002,1.16097
EUR/USD,20180903 06:51:53.454,1.1609200000000002,1.16095
EUR/USD,20180903 06:56:54.375,1.1604299999999999,1.16046
EUR/USD,20180903 07:01:54.492,1.1606299999999998,1.16066
EUR/USD,20180903 07:06:54.587,1.15957,1.1596
EUR/USD,20180903 07:11:54.969,1.15957,1.15961
EUR/USD,20180903 07:16:56.784,1.15936,1.1594
EUR/USD,20180903 07:21:57.147,1.1597899999999999,1.15982
EUR/USD,20180903 07:26:59.099,1.15965,1.1596899999999999
EUR/USD,20180903 07:31:59.417,1.1607100000000001,1.1607399999999999
EUR/USD,20180903 07:37:00.272,1.16163,1.16167
EUR/USD,20180903 07:42:00.323,1.16229,1.1623299999999999
EUR/USD,20180903 07:47:00.946,1.16173,1.1617600000000001
EUR/USD,20180903 07:52:01.071,1.1614200000000001,1.16144
EUR/USD,20180903 07:57:01.140,1.16105,1.16109
EUR/USD,20180903 08:02:02.203,1.16099,1.1610200000000002
EUR/USD,20180903 08:07:04.499,1.16101,1.16105
EUR/USD,20180903 08:12:04.594,1.16178,1.16181
EUR/USD,20180903 08:17:08.410,1.16188,1.1619
EUR/USD,20180903 08:22:13.053,1.16155,1.1616
EUR/USD,20180903 08:27:13.242,1.16157,1.16162
EUR/USD,20180903 08:32:13.276,1.16153,1.16157
EUR/USD,20180903 08:37:13.424,1.1614,1.16143
EUR/USD,20180903 08:42:13.449,1.1611200000000002,1.16115
EUR/USD,20180903 08:47:16.116,1.16124,1.16127
EUR/USD,20180903 08:52:18.781,1.16136,1.1614
EUR/USD,20180903 08:57:18.791,1.16086,1.16088
EUR/USD,20180903 09:02:19.541,1.16126,1.16129
EUR/USD,20180903 09:07:19.736,1.16108,1.16111
EUR/USD,20180903 09:12:23.991,1.16093,1.16098
EUR/USD,20180903 09:17:24.222,1.16105,1.16107
EUR/USD,20180903 09:22:29.535,1.16108,1.1611200000000002
EUR/USD,20180903 09:27:30.896,1.1607399999999999,1.16077
EUR/USD,20180903 09:32:31.866,1.16021,1.16025
EUR/USD,20180903 09:37:35.596,1.16029,1.16031
EUR/USD,20180903 09:42:36.689,1.1601299999999999,1.1601700000000001
EUR/USD,20180903 09:47:37.006,1.16034,1.1603700000000001
