Balance,Begin Time,End Time,Trade Type,Perc Bal,Symbol,Begin Price,End Price,Commission,Profit
100000,20180801 00:00:00.148,20180801 05:48:36.925,SHORT,5,EURUSD,1.1689,1.1677799999999998,1.4,98.00000000002319
100098.00000000003,20180801 05:48:36.925,20180801 07:49:12.366,LONG,5,EURUSD,1.1677799999999998,1.16897,1.4,105.00000000002464
100203.00000000006,20180801 07:49:12.366,20180801 11:20:29.994,SHORT,5,EURUSD,1.16897,1.16847,1.4,36.0000000000167
100239.00000000007,20180801 11:20:29.994,20180801 12:35:52.117,LONG,5,EURUSD,1.16847,1.16971,1.4,110.00000000001299
100349.00000000009,20180801 12:35:52.117,20180801 16:57:08.817,SHORT,5,EURUSD,1.16971,1.16669,1.4,288.0000000000023
100637.00000000009,20180801 16:57:08.817,20180801 18:27:46.716,LONG,5,EURUSD,1.16669,1.16708,1.4,24.999999999989043
100662.00000000007,20180801 18:27:46.716,20180802 11:56:16.280,SHORT,5,EURUSD,1.16708,1.16104,1.4,589.9999999999823
101252.00000000006,20180802 11:56:16.280,20180802 13:21:35.672,LONG,5,EURUSD,1.16104,1.16257,1.4,139.00000000000313
101391.00000000006,20180802 13:21:35.672,20180803 08:32:31.316,SHORT,5,EURUSD,1.16257,1.15723,1.4,520.0000000000122
101911.00000000007,20180803 08:32:31.316,20180803 09:12:51.113,LONG,5,EURUSD,1.15723,1.15813,1.4,76.00000000001229
101987.00000000009,20180803 09:12:51.113,20180803 09:48:08.660,SHORT,5,EURUSD,1.15813,1.1578700000000002,1.4,11.999999999992697
101999.00000000007,20180803 09:48:08.660,20180803 11:43:40.812,LONG,5,EURUSD,1.1578700000000002,1.16017,1.4,215.99999999997468
102215.00000000004,20180803 11:43:40.812,20180803 13:38:53.815,SHORT,5,EURUSD,1.16017,1.1568200000000002,1.4,320.9999999999742
102536.00000000001,20180803 13:38:53.815,20180803 15:54:42.994,LONG,5,EURUSD,1.1568200000000002,1.1599700000000002,1.4,300.99999999999864
102837.00000000001,20180803 15:54:42.994,20180806 06:13:15.140,SHORT,5,EURUSD,1.1599700000000002,1.15513,1.4,470.00000000001774
103307.00000000003,20180806 06:13:15.140,20180806 08:59:14.702,LONG,5,EURUSD,1.15513,1.15584,1.4,56.99999999999885
103364.00000000003,20180806 08:59:14.702,20180806 11:15:39.585,SHORT,5,EURUSD,1.15584,1.1535799999999998,1.4,212.0000000000151
103576.00000000004,20180806 11:15:39.585,20180806 16:17:53.843,LONG,5,EURUSD,1.1535799999999998,1.15592,1.4,220.00000000002308
103796.00000000007,20180806 16:17:53.843,20180807 05:06:34.118,SHORT,5,EURUSD,1.15592,1.15574,1.4,4.0000000000069
103800.00000000007,20180807 05:06:34.118,20180807 12:44:43.967,LONG,5,EURUSD,1.15574,1.1605,1.4,462.0000000000097
104262.00000000009,20180807 12:44:43.967,20180807 18:02:08.834,SHORT,5,EURUSD,1.1605,1.15845,1.4,191.00000000001074
104453.0000000001,20180807 18:02:08.834,20180808 04:51:03.670,LONG,5,EURUSD,1.15845,1.16238,1.4,378.9999999999989
104832.0000000001,20180808 04:51:03.670,20180808 08:47:50.116,SHORT,5,EURUSD,1.16238,1.15896,1.4,327.99999999999784
105160.0000000001,20180808 08:47:50.116,20180808 10:53:34.613,LONG,5,EURUSD,1.15896,1.15952,1.4,42.000000000011596
105202.00000000012,20180808 10:53:34.613,20180808 13:04:19.608,SHORT,5,EURUSD,1.15952,1.15825,1.4,113.00000000001044
105315.00000000013,20180808 13:04:19.608,20180808 15:29:58.275,LONG,5,EURUSD,1.15825,1.16041,1.4,201.99999999999397
105517.00000000013,20180808 15:29:58.275,20180808 16:30:24.127,SHORT,5,EURUSD,1.16041,1.15952,1.4,74.99999999998354
105592.00000000012,20180808 16:30:24.127,20180808 19:11:53.646,LONG,5,EURUSD,1.15952,1.16167,1.4,200.99999999998744
105793.0000000001,20180808 19:11:53.646,20180809 01:25:39.567,SHORT,5,EURUSD,1.16167,1.16032,1.4,120.99999999999623
105914.0000000001,20180809 01:25:39.567,20180809 03:31:44.905,LONG,5,EURUSD,1.16032,1.16147,1.4,100.99999999999844
106015.0000000001,20180809 03:31:44.905,20180809 08:15:29.960,SHORT,5,EURUSD,1.16147,1.15876,1.4,256.99999999999903
106272.0000000001,20180809 08:15:29.960,20180809 10:31:13.314,LONG,5,EURUSD,1.15876,1.16008,1.4,117.99999999999879
