Balance,Begin Time,End Time,Trade Type,Perc Bal,Symbol,Begin Price,End Price,Commission,Profit
100000,20180401 21:01:36.833,20180401 23:49:07.151,SHORT,5,EURUSD,1.23181,1.23147,1.4,20.000000000000696
100020.0,20180401 23:49:07.151,20180402 02:21:21.301,LONG,5,EURUSD,1.23147,1.2322799999999998,1.4,66.99999999997554
100086.99999999997,20180402 02:21:21.301,20180402 06:05:22.883,SHORT,5,EURUSD,1.2322799999999998,1.23176,1.4,37.99999999998539
100124.99999999996,20180402 06:05:22.883,20180402 12:06:46.734,LONG,5,EURUSD,1.23176,1.2341,1.4,220.00000000000088
100344.99999999996,20180402 12:06:46.734,20180402 16:07:56.369,SHORT,5,EURUSD,1.2341,1.22889,1.4,506.99999999999363
100851.99999999996,20180402 16:07:56.369,20180403 07:37:11.184,LONG,5,EURUSD,1.22889,1.2326700000000002,1.4,364.00000000001165
101215.99999999997,20180403 07:37:11.184,20180403 10:58:01.983,SHORT,5,EURUSD,1.2326700000000002,1.22898,1.4,355.0000000000193
101570.99999999999,20180403 10:58:01.983,20180403 11:53:17.061,LONG,5,EURUSD,1.22898,1.23037,1.4,125.00000000000024
101695.99999999999,20180403 11:53:17.061,20180403 13:43:49.779,SHORT,5,EURUSD,1.23037,1.2263899999999999,1.4,384.00000000000944
102080.0,20180403 13:43:49.779,20180403 15:09:07.477,LONG,5,EURUSD,1.2263899999999999,1.2275,1.4,97.00000000001664
102177.00000000001,20180403 15:09:07.477,20180403 16:34:23.008,SHORT,5,EURUSD,1.2275,1.22704,1.4,32.0000000000127
102209.00000000003,20180403 16:34:23.008,20180404 04:36:34.956,LONG,5,EURUSD,1.22704,1.22807,1.4,89.00000000000864
102298.00000000004,20180404 04:36:34.956,20180404 06:32:39.304,SHORT,5,EURUSD,1.22807,1.22701,1.4,92.0000000000061
102390.00000000004,20180404 06:32:39.304,20180404 08:33:29.443,LONG,5,EURUSD,1.22701,1.23003,1.4,288.0000000000023
102678.00000000004,20180404 08:33:29.443,20180404 12:14:48.715,SHORT,5,EURUSD,1.23003,1.22761,1.4,227.99999999998667
102906.00000000003,20180404 12:14:48.715,20180404 14:40:12.031,LONG,5,EURUSD,1.22761,1.23019,1.4,243.99999999998047
103150.00000000001,20180404 14:40:12.031,20180405 07:36:55.533,SHORT,5,EURUSD,1.23019,1.22651,1.4,353.99999999999056
103504.0,20180405 07:36:55.533,20180405 10:07:45.960,LONG,5,EURUSD,1.22651,1.22755,1.4,89.999999999993
103594.0,20180405 10:07:45.960,20180405 12:23:19.867,SHORT,5,EURUSD,1.22755,1.22455,1.4,285.99999999998914
103879.99999999999,20180405 12:23:19.867,20180405 13:13:35.563,LONG,5,EURUSD,1.22455,1.22508,1.4,38.99999999999194
103918.99999999997,20180405 13:13:35.563,20180405 15:03:59.372,SHORT,5,EURUSD,1.22508,1.22253,1.4,241.00000000000523
104159.99999999997,20180405 15:03:59.372,20180406 02:09:50.891,LONG,5,EURUSD,1.22253,1.22586,1.4,319.0000000000055
104478.99999999997,20180406 02:09:50.891,20180406 07:47:19.654,SHORT,5,EURUSD,1.22586,1.22246,1.4,325.99999999998477
104804.99999999996,20180406 07:47:19.654,20180406 10:02:50.452,LONG,5,EURUSD,1.22246,1.22419,1.4,158.99999999997874
104963.99999999994,20180406 10:02:50.452,20180406 11:43:31.019,SHORT,5,EURUSD,1.22419,1.22355,1.4,49.9999999999974
105013.99999999994,20180406 11:43:31.019,20180406 14:13:52.965,LONG,5,EURUSD,1.22355,1.22694,1.4,325.0000000000004
105338.99999999994,20180406 14:13:52.965,20180406 14:48:55.081,SHORT,5,EURUSD,1.22694,1.2269700000000001,1.4,-17.000000000019654
105321.99999999993,20180406 14:48:55.081,20180408 21:54:22.143,LONG,5,EURUSD,1.2269700000000001,1.22815,1.4,103.9999999999959
105425.99999999993,20180408 21:54:22.143,20180409 00:06:44.398,SHORT,5,EURUSD,1.22815,1.22712,1.4,89.00000000000864
105514.99999999994,20180409 00:06:44.398,20180409 05:44:42.239,LONG,5,EURUSD,1.22712,1.22783,1.4,56.99999999999885
105571.99999999994,20180409 05:44:42.239,20180409 07:09:54.516,SHORT,5,EURUSD,1.22783,1.2273,1.4,38.99999999999194
105610.99999999993,20180409 07:09:54.516,20180409 08:30:11.728,LONG,5,EURUSD,1.2273,1.22809,1.4,64.99999999998464
105675.99999999991,20180409 08:30:11.728,20180409 10:25:46.160,SHORT,5,EURUSD,1.22809,1.2268299999999999,1.4,112.0000000000039
105787.99999999991,20180409 10:25:46.160,20180409 16:27:12.886,LONG,5,EURUSD,1.2268299999999999,1.23177,1.4,480.0000000000166
106267.99999999993,20180409 16:27:12.886,20180409 18:12:47.627,SHORT,5,EURUSD,1.23177,1.23148,1.4,15.000000000012351
106282.99999999994,20180409 18:12:47.627,20180410 00:32:50.379,LONG,5,EURUSD,1.23148,1.23261,1.4,99.00000000000755
106381.99999999996,20180410 00:32:50.379,20180410 05:50:30.682,SHORT,5,EURUSD,1.23261,1.23096,1.4,150.99999999999292
106532.99999999996,20180410 05:50:30.682,20180410 09:16:23.715,LONG,5,EURUSD,1.23096,1.2323,1.4,119.99999999998968
106652.99999999994,20180410 09:16:23.715,20180410 10:01:49.027,SHORT,5,EURUSD,1.2323,1.23232,1.4,-16.000000000013102
106636.99999999993,20180410 10:01:49.027,20180410 12:12:24.298,LONG,5,EURUSD,1.23232,1.2362600000000001,1.4,380.00000000000546
107016.99999999993,20180410 12:12:24.298,20180410 13:02:42.246,SHORT,5,EURUSD,1.2362600000000001,1.23496,1.4,116.00000000000789
107132.99999999994,20180410 13:02:42.246,20180410 13:52:50.168,LONG,5,EURUSD,1.23496,1.23678,1.4,167.9999999999933
107300.99999999994,20180410 13:52:50.168,20180410 15:53:15.668,SHORT,5,EURUSD,1.23678,1.23385,1.4,279.00000000000995
107579.99999999996,20180410 15:53:15.668,20180411 07:16:55.994,LONG,5,EURUSD,1.23385,1.23729,1.4,330.00000000001097
