Balance,Begin Time,End Time,Trade Type,Perc Bal,Symbol,Begin Price,End Price,Commission,Profit
100000,20180101 22:01:01.051,20180102 01:09:37.011,LONG,5,EURUSD,1.20116,1.20212,1.4,82.00000000000719
100082.0,20180102 01:09:37.011,20180102 02:40:41.886,SHORT,5,EURUSD,1.20212,1.2012,1.4,78.0000000000032
100160.0,20180102 02:40:41.886,20180102 10:30:08.311,LONG,5,EURUSD,1.2012,1.20684,1.4,549.9999999999867
100709.99999999999,20180102 10:30:08.311,20180102 15:06:26.756,SHORT,5,EURUSD,1.20684,1.20377,1.4,292.9999999999906
101002.99999999997,20180102 15:06:26.756,20180102 16:51:47.728,LONG,5,EURUSD,1.20377,1.20581,1.4,190.00000000000418
101192.99999999997,20180102 16:51:47.728,20180102 18:58:20.467,SHORT,5,EURUSD,1.20581,1.20423,1.4,144.0000000000137
101336.99999999999,20180102 18:58:20.467,20180103 00:16:54.560,LONG,5,EURUSD,1.20423,1.2060799999999998,1.4,170.99999999999073
101507.99999999997,20180103 00:16:54.560,20180103 04:35:22.972,SHORT,5,EURUSD,1.2060799999999998,1.2053200000000002,1.4,61.99999999996499
101569.99999999994,20180103 04:35:22.972,20180103 05:56:22.159,LONG,5,EURUSD,1.2053200000000002,1.20566,1.4,19.999999999978492
101589.99999999993,20180103 05:56:22.159,20180103 08:07:38.857,SHORT,5,EURUSD,1.20566,1.20319,1.4,232.99999999999721
101822.99999999993,20180103 08:07:38.857,20180103 09:13:00.058,LONG,5,EURUSD,1.20319,1.20376,1.4,42.99999999999594
101865.99999999993,20180103 09:13:00.058,20180103 11:38:40.444,SHORT,5,EURUSD,1.20376,1.20136,1.4,225.99999999999577
102091.99999999993,20180103 11:38:40.444,20180103 13:34:23.258,LONG,5,EURUSD,1.20136,1.2028299999999998,1.4,132.99999999998604
102224.99999999991,20180103 13:34:23.258,20180103 15:09:40.256,SHORT,5,EURUSD,1.2028299999999998,1.20094,1.4,174.99999999999474
102399.99999999991,20180103 15:09:40.256,20180103 17:35:06.643,LONG,5,EURUSD,1.20094,1.20266,1.4,158.0000000000166
102557.99999999993,20180103 17:35:06.643,20180104 01:00:14.737,SHORT,5,EURUSD,1.20266,1.20101,1.4,151.00000000001515
102708.99999999994,20180104 01:00:14.737,20180104 07:34:41.503,LONG,5,EURUSD,1.20101,1.20277,1.4,161.99999999999838
102870.99999999994,20180104 07:34:41.503,20180104 08:40:08.137,SHORT,5,EURUSD,1.20277,1.20278,1.4,-15.00000000000655
