Balance,Begin Time,End Time,Trade Type,Perc Bal,Symbol,Begin Price,End Price,Commission,Profit
100000,20180601 00:00:00.076,20180601 01:55:48.615,LONG,5,EURUSD,1.16926,1.16931,1.4,-8.999999999989447
99991.00000000001,20180601 01:55:48.615,20180601 05:38:32.655,SHORT,5,EURUSD,1.16931,1.16738,1.4,178.99999999999872
100170.00000000001,20180601 05:38:32.655,20180601 07:34:00.533,LONG,5,EURUSD,1.16738,1.16987,1.4,234.99999999998812
100405.0,20180601 07:34:00.533,20180601 08:39:12.237,SHORT,5,EURUSD,1.16987,1.1685299999999998,1.4,120.0000000000119
100525.00000000001,20180601 08:39:12.237,20180601 10:19:48.078,LONG,5,EURUSD,1.1685299999999998,1.17069,1.4,202.00000000001617
100727.00000000003,20180601 10:19:48.078,20180601 14:15:30.440,SHORT,5,EURUSD,1.17069,1.16296,1.4,759.0000000000015
101486.00000000003,20180601 14:15:30.440,20180601 15:45:41.824,LONG,5,EURUSD,1.16296,1.16717,1.4,407.00000000000466
101893.00000000003,20180601 15:45:41.824,20180601 20:13:37.398,SHORT,5,EURUSD,1.16717,1.16574,1.4,129.00000000000423
102022.00000000003,20180601 20:13:37.398,20180604 04:55:36.555,LONG,5,EURUSD,1.16574,1.16907,1.4,319.0000000000055
102341.00000000003,20180604 04:55:36.555,20180604 05:51:42.277,SHORT,5,EURUSD,1.16907,1.16967,1.4,-73.99999999999339
102267.00000000003,20180604 05:51:42.277,20180604 09:37:33.483,LONG,5,EURUSD,1.16967,1.17311,1.4,330.00000000001097
102597.00000000004,20180604 09:37:33.483,20180604 10:37:48.997,SHORT,5,EURUSD,1.17311,1.1725,1.4,46.99999999999994
102644.00000000004,20180604 10:37:48.997,20180604 11:43:06.253,LONG,5,EURUSD,1.1725,1.17292,1.4,27.999999999986493
102672.00000000003,20180604 11:43:06.253,20180604 17:19:12.764,SHORT,5,EURUSD,1.17292,1.16927,1.4,350.9999999999931
103023.00000000003,20180604 17:19:12.764,20180605 00:41:26.861,LONG,5,EURUSD,1.16927,1.17001,1.4,59.9999999999963
103083.00000000003,20180605 00:41:26.861,20180605 05:09:25.343,SHORT,5,EURUSD,1.17001,1.1688,1.4,106.99999999999334
103190.00000000003,20180605 05:09:25.343,20180605 08:45:14.038,LONG,5,EURUSD,1.1688,1.1711200000000002,1.4,218.00000000000998
103408.00000000004,20180605 08:45:14.038,20180605 14:16:31.071,SHORT,5,EURUSD,1.1711200000000002,1.16576,1.4,522.0000000000254
103930.00000000007,20180605 14:16:31.071,20180605 17:17:00.297,LONG,5,EURUSD,1.16576,1.17279,1.4,689.0000000000091
104619.00000000009,20180605 17:17:00.297,20180605 22:21:25.243,SHORT,5,EURUSD,1.17279,1.17173,1.4,92.0000000000061
104711.00000000009,20180605 22:21:25.243,20180606 03:56:42.729,LONG,5,EURUSD,1.17173,1.17277,1.4,90.00000000001519
104801.0000000001,20180606 03:56:42.729,20180606 04:37:14.203,SHORT,5,EURUSD,1.17277,1.17183,1.4,80.0000000000163
104881.00000000012,20180606 04:37:14.203,20180606 07:48:39.182,LONG,5,EURUSD,1.17183,1.17559,1.4,361.9999999999986
105243.00000000012,20180606 07:48:39.182,20180606 08:44:01.240,SHORT,5,EURUSD,1.17559,1.1747299999999998,1.4,72.0000000000083
105315.00000000013,20180606 08:44:01.240,20180606 11:19:48.117,LONG,5,EURUSD,1.1747299999999998,1.17746,1.4,259.0000000000121
105574.00000000015,20180606 11:19:48.117,20180606 12:20:03.322,SHORT,5,EURUSD,1.17746,1.17665,1.4,66.99999999999774
105641.00000000015,20180606 12:20:03.322,20180606 14:00:27.221,LONG,5,EURUSD,1.17665,1.17876,1.4,197.00000000000563
105838.00000000015,20180606 14:00:27.221,20180606 15:15:40.840,SHORT,5,EURUSD,1.17876,1.17743,1.4,119.00000000000534
105957.00000000015,20180606 15:15:40.840,20180606 16:41:02.718,LONG,5,EURUSD,1.17743,1.17811,1.4,54.0000000000014
106011.00000000015,20180606 16:41:02.718,20180606 18:41:57.992,SHORT,5,EURUSD,1.17811,1.1765,1.4,146.99999999998894
106158.00000000013,20180606 18:41:57.992,20180607 08:08:49.435,LONG,5,EURUSD,1.1765,1.18223,1.4,558.9999999999791
106717.00000000012,20180607 08:08:49.435,20180607 09:09:05.706,SHORT,5,EURUSD,1.18223,1.18262,1.4,-53.00000000001124
106664.0000000001,20180607 09:09:05.706,20180607 12:29:57.904,LONG,5,EURUSD,1.18262,1.18325,1.4,48.99999999999085
106713.00000000009,20180607 12:29:57.904,20180607 14:05:12.082,SHORT,5,EURUSD,1.18325,1.18154,1.4,156.99999999998784
106870.00000000007,20180607 14:05:12.082,20180607 15:15:22.202,LONG,5,EURUSD,1.18154,1.18259,1.4,90.99999999999955
106961.00000000007,20180607 15:15:22.202,20180607 23:31:51.317,SHORT,5,EURUSD,1.18259,1.17955,1.4,289.9999999999932
107251.00000000007,20180607 23:31:51.317,20180608 01:23:09.075,LONG,5,EURUSD,1.17955,1.18056,1.4,86.99999999999554
107338.00000000007,20180608 01:23:09.075,20180608 03:49:33.218,SHORT,5,EURUSD,1.18056,1.17982,1.4,59.9999999999963
107398.00000000007,20180608 03:49:33.218,20180608 04:55:52.379,LONG,5,EURUSD,1.17982,1.18038,1.4,41.99999999998939
